text,label,model
ഇന്ത്യയിലെ ആദ്യത്തെ സ്പേസ് ടൂറിസം മിഷനായ 'ഗഗന്യാൻ' 2025-ല്‍ വിക്ഷേപിക്കും എന്ന് ഇസ്‌റോ അറിയിച്ചു. രണ്ട് ഇന്ത്യക്കാരെ ഭൂമിയുടെ താഴ്ന്ന ഭ്രമണപഥത്തിലേക്ക് കൊണ്ടുപോകാനാണ് ഈ ചരിത്രപ്രധാനമായ യാത്ര ലക്ഷ്യം വച്ചിരിക്കുന്നത്. ഇത് രാജ്യത്തെ ബഹിരാകാശ സാങ്കേതിക വിദ്യയില്‍ ഒരു പുതിയ യുഗം ഉണ്ടാക്കും.,3,deepseek
കേരളത്തിലെ സ്റ്റാർട്ടപ്പ് മേഖലയ്ക്ക് ഉണർവേകി കേരള സ്റ്റാർട്ടപ്പ് മിഷന് (KSUM) പുതിയ നിക്ഷേപം ലഭിച്ചു. ഇത് സംസ്ഥാനത്തെ യുവ സംരംഭകർക്ക് കൂടുതൽ സാമ്പത്തിക സഹായവും മാർഗ്ഗനിർദ്ദേശവും നൽകാൻ സഹായിക്കും. നവീകരണ ആശയങ്ങളുള്ള കൂടുതൽ സ്റ്റാർട്ടപ്പുകൾക്ക് ഈ ഫണ്ട് പ്രയോജനകരമാകും. ടെക്നോളജി അധിഷ്ഠിത സംരംഭങ്ങൾക്ക് മുൻഗണന നൽകും.,2,gemini
"കേരളത്തിൽ നടക്കുന്ന സംസ്ഥാന യോഗ്യതാ പരീക്ഷയിൽ ഇന്ന് 2000 മുതൽ കൂടുതൽ കായിക താരങ്ങൾ മത്സരിക്കുന്നു. ഈ മത്സരങ്ങൾ സംസ്ഥാനത്തെ കായിക രംഗത്തെ യുവതാരങ്ങൾക്കുള്ള ഒരു വലിയ അവസരമാണ്. കഴിഞ്ഞ വർഷത്തെ വിജയികളെ ആശ്രയിച്ചുകൊണ്ട്, ഇത്തവണ മികച്ച പ്രകടനം കാഴ്ചവയ്ക്കണമെന്ന് പുരുഷ, വനിതാ താരങ്ങൾ ലക്ഷ്യമിടുന്നു.",1,openai
"ലോകമെമ്പാടും സൈബർ ആക്രമണങ്ങൾ വർദ്ധിച്ചുവരുന്ന സാഹചര്യത്തിൽ, സൈബർ സുരക്ഷാ വിദഗ്ദ്ധർ ജാഗ്രതാ നിർദ്ദേശം നൽകി. വ്യക്തിഗത വിവരങ്ങൾ ചോർത്തുന്ന ഫിഷിംഗ് ആക്രമണങ്ങളും റാൻസംവെയർ ഭീഷണികളും വർദ്ധിച്ചുവരികയാണ്. കമ്പ്യൂട്ടറുകളും മൊബൈൽ ഫോണുകളും സുരക്ഷിതമാക്കാൻ ഏറ്റവും പുതിയ സോഫ്റ്റ്‌വെയറുകൾ ഉപയോഗിക്കാനും ശക്തമായ പാസ്‌വേഡുകൾ തിരഞ്ഞെടുക്കാനും അവർ ഉപദേശിച്ചു. പൊതു വൈഫൈ ഉപയോഗിക്കുമ്പോൾ കൂടുതൽ ശ്രദ്ധിക്കണമെന്നും മുന്നറിയിപ്പുണ്ട്.",3,gemini
"ചെറുകിട വ്യവസായങ്ങൾക്കായി കേരള സർക്കാർ സബ്സിഡി പദ്ധതി ആരംഭിച്ചു. ഉൽപ്പാദനം, ജോലി അവസരങ്ങൾ വർദ്ധിപ്പിക്കാൻ ലക്ഷ്യമിട്ടുള്ള ഈ പദ്ധതി ഇതിനകം 500-ലധികം ആപ്ലിക്കേഷനുകൾ ലഭിച്ചു.",2,sarvam
"ലോക ബാങ്ക് ഇന്ത്യയുടെ സാമ്പത്തിക പുനരുജ്ജീവന പദ്ധതികൾക്ക് 1 ബില്യൺ ഡോളർ സാമ്പത്തിക സഹായം നൽകുമെന്ന് പ്രഖ്യാപിച്ചു. അടിസ്ഥാന സൗകര്യ വികസനം, ജോലി സൃഷ്ടി എന്നിവയിൽ ഇത് ശ്രദ്ധ കേന്ദ്രീകരിക്കും.",2,sarvam
"ഇന്ത്യൻ ക്രിക്കറ്റ് ടീമിന്റെ പുതിയ കപ്താനായി റോഹിത് ശർമ്മയെ നിയമിച്ചു. ബി.സി.സി.ഐ ഇന്ന് നടത്തിയ പത്രസമ്മേളനത്തിലാണ് ഈ തീരുമാനം അറിയിച്ചത്. ടി20, വൻകളി ഫോർമാറ്റുകളിൽ ടീമിന് നേതൃത്വം നൽകുമെന്നും അറിയിച്ചു. വിരാട് കോഹ്ലിയുടെ കപ്താനി ഭാരം ഏറ്റെടുത്ത റോഹിത്, ആഗാമീ വിശ്വകപ്പിലൂടെ ടീമിനെ നയിക്കും.",1,deepseek
"മഹീന്ദ്ര & മഹീന്ദ്ര കമ്പനി കർണാടകയിൽ 10,000 കോടി രൂപ നിക്ഷേപിച്ച് ബാറ്ററി പ്ലാന്റ് സ്ഥാപിക്കാൻ തീരുമാനിച്ചു. ഇലക്ട്രിക് വാഹനങ്ങളുടെ ആവശ്യകത നിറയ്ക്കാൻ ഇത് സഹായിക്കും.",2,sarvam
ഇന്ത്യൻ സൂപ്പർ ലീഗ് ക്ലബ് കേരള ബ്ലാസ്റ്റേഴ്സ് പുതിയ പരിശീലകനെ പ്രഖ്യാപിച്ചു. മുൻ സ്പാനിഷ് താരം മിഗുവൽ ഏഞ്ചൽ റമീറസ് ആണ് അടുത്ത സീസണിൽ ടീമിനെ നയിക്കുക. ടീമിനെ മികച്ച പ്രകടനത്തിലേക്ക് നയിക്കാനാണ് അദ്ദേഹത്തിന്റെ നിയമനം. ആരാധകർ വലിയ പ്രതീക്ഷയോടെയാണ് ഈ മാറ്റത്തെ നോക്കിക്കാണുന്നത്.,1,gemini
"കേരളത്തിലെ ചെറുകിട വ്യവസായങ്ങൾക്കായി പുതിയ നിക്ഷേപ നയം പ്രഖ്യാപിച്ചു. 2023-24 സാമ്പത്തിക വർഷത്തിൽ 5000 കോടി രൂപയുടെ നിക്ഷേപം ആകർഷിക്കാനാണ് ലക്ഷ്യം. ഇതിലൂടെ തൊഴിലവസരങ്ങൾ വർധിപ്പിക്കുകയും, സംരംഭകരെ പ്രോത്സാഹിപ്പിക്കുകയും ചെയ്യാൻ ഉദ്ദേശികരുന്നു. മുഖ്യമന്ത്രി ഇന്നലെ നടത്തിയ പ്രസ്താവനയിൽ, നയത്തിന്റെ വിശദാംശങ്ങൾ പങ്കുവച്ചു.",2,openai
പ്രശസ്ത സംഗീത രചയിതാവ് എ.ആർ. റഹ്മാന് ഈ വര്ഷത്തെ കേരള സംസ്ഥാന ചലച്ചിത്ര പുരസ്കാരത്തിലെ മികച്ച പശ്ചാത്തല സംഗീത director എന്ന പദവി ലഭിച്ചു. അദ്ദേഹത്തിന്റെ 'മിന്നാമിന്നിക്കൂട്' ചിത്രത്തിലെ സംഗീതമാണ് ഈ ബഹുമതിക്ക് കാരണമായതെന്ന് ജൂറി പ്രഖ്യാപിച്ചു. പുരസ്കാരം അടുത്ത മാസം തിരുവനന്തപുരത്ത് നടക്കാനിരിക്കുന്ന ചടങ്ങില് റഹ്മാന് സ്വീകരിക്കും.,0,deepseek
കോവിഡ് പ്രതിസന്ധിക്ക് ശേഷം കേരളത്തിലെ ടൂറിസം മേഖല ഉണർവിന്റെ പാതയിലാണ്. ഈ വർഷം വിദേശ സഞ്ചാരികളുടെ എണ്ണത്തിൽ ഗണ്യമായ വർദ്ധനവ് രേഖപ്പെടുത്തി. സർക്കാർ പ്രോത്സാഹനങ്ങളും പുതിയ ടൂറിസം പാക്കേജുകളും ഈ വളർച്ചയ്ക്ക് സഹായകമായി. പ്രാദേശിക സമ്പദ്‌വ്യവസ്ഥയ്ക്കും ഇത് വലിയ ഉത്തേജനം നൽകുന്നുണ്ട്. സാഹസിക ടൂറിസത്തിനും ആയുർവേദ ടൂറിസത്തിനും വലിയ സ്വീകാര്യതയാണ് ലഭിക്കുന്നത്.,2,gemini
"മുംബൈയിലെ ഒരു പുതിയ സ്റ്റാർട്ടപ്പ് കമ്പനിയാണ് കൃത്രിമ ബുദ്ധിമുട്ടുകളുടെ പരിഹാരങ്ങൾ നൽകുന്ന നവീന സോഫ്റ്റ്‌വെയർ വികസിപ്പിച്ചിരിക്കുന്നത്. ഈ സോഫ്റ്റ്‌വെയർ വിവിധ വ്യവസായങ്ങൾക്ക് തങ്ങളുടെ പ്രവർത്തനങ്ങൾ മെച്ചപ്പെടുത്താനും,效率 വർദ്ധിപ്പിക്കാനും സഹായിക്കും. കമ്പനി അടുത്ത വർഷം 50 പുതിയ തൊഴിലവസരങ്ങൾ സൃഷ്ടിക്കുമെന്ന് പ്രതീക്ഷിക്കുന്നു.",2,openai
പ്രശസ്ത സംവിധായകൻ ലിജോ ജോസ് പെല്ലിശ്ശേരി തന്റെ അടുത്ത ചിത്രത്തിന് തയ്യാറെടുപ്പ് ആരംഭിച്ചു. ഈ ചിത്രത്തിൽ പൃഥ്വിരാജ് സുകുമാരൻ മുഖ്യ വേഷത്തിൽ എത്തും എന്നാണ് വാർത്ത. ചിത്രീകരണം അടുത്ത വർഷം ആരംഭിക്കുമെന്നും റിപ്പോർട്ടുകൾ സൂചിപ്പിക്കുന്നു. ഈ സംയോജനം ചലച്ചിത്രരസികരിൽ വലിയ പ്രതീക്ഷ ജനിപ്പിക്കുന്നു.,0,deepseek
തിരുവനന്തപുരം: ഐപിഎല്‍ 2024ലെ ഫൈനല്‍ മത്സരത്തില്‍ കൊല്‍ക്കത്താ നൈറ്റ് റൈഡേഴ്സ് സന്‍റൈസേഴ്സ് ഹൈദരാബാദിനെ 8 വിക്കറ്റിന് പരാജയപ്പെടുത്തി മൂന്നാം തവണ ചാമ്പ്യന്‍ ആയി. ടോസ് വിജയിച്ച് ഫീല്‍ഡിംഗ് തിരഞ്ഞെടുത്ത എസ്ആര്എച്ച് ആദ്യം ബാറ്റിംഗ് നിര്‍വഹിച്ചെങ്കിലും 113 റണ്സ് മാത്രമേ നേടിയുള്ളൂ. ജിത്തേഷ് ശര്മയുടെ മികച്ച സ്പെല്ലില്‍ കെകെആര്‍ 16 ഓവറില്‍ വെച്ച് ലക്ഷ്യം നേരിട്ടു.,1,deepseek
"കേരളത്തില്‍ പുതിയൊരു ബിസിനസ്സ് ഇൻക്യൂബേറ്റർ ആരംഭിച്ചു. സ്റ്റാർട്ടപ്പ് സംരംഭകത്വത്തിനും നവീന ആശയങ്ങൾക്കും പിന്തുണ നൽകുക എന്ന ലക്ഷ്യത്തോടെ, ഈ ഇൻക്യൂബേറ്റർ 50 ലക്ഷം രൂപയുടെ നിക്ഷേപവുമായി പ്രവർത്തനം ആരംഭിച്ചു. പുതിയ സംരംഭങ്ങൾ വികസിപ്പിക്കാൻ, പ്രൊഫഷണൽ പരിശീലനവും മാർക്കറ്റിംഗ് പിന്തുണയും നൽകും. സംരംഭകർക്ക് മികച്ച അവസരങ്ങൾ നൽകാൻ ഈ ഇൻക്യൂബേറ്റർ സഹായിക്കും.",2,openai
ഇന്ത്യയിലെ ആദ്യത്തെ സ്പേസ് ടൂറിസം മിഷനായ 'ഗഗന്യാൻ' 2025-ല്‍ വിക്ഷേപിക്കും എന്ന് ഇസ്‌റോ അറിയിച്ചു. ഈ ചരിത്രപ്രധാനമായ യാത്രയില്‍ മൂന്ന് ബഹിരാകാശ സഞ്ചാരികള്‍ പങ്കെടുക്കും. ഈ പദ്ധതിക്കായി ജിഎസ്‌എല്‍വിനും റിലയൻസ് ഇൻഡസ്ട്രീസിനുമായി കരാറുകള്‍ ഒപ്പിട്ടു. ഇത് ഇന്ത്യൻ ബഹിരാകാശ മേഖലയിലെ ഒരു പ്രധാന മാറ്റമാണ്.,3,deepseek
'ബാർബി' എന്ന ആഗോള ഹിറ്റ് സിനിമ ഇപ്പോൾ മലയാളം ഡബ്ബിംഗിൽ റിലീസ് ചെയ്തു. കുട്ടികൾക്കിടയിൽ സിനിമ വലിയ പ്രശസ്തിയാണ് നേടിയിട്ടുള്ളത്.,0,sarvam
