text,label
"കേരളത്തിലെ ചെറുകിട വ്യവസായങ്ങൾക്ക് പിന്തുണ നൽകാൻ പുതിയ പദ്ധതികൾ പ്രഖ്യാപിച്ചു. മുഖ്യമന്ത്രി പിണറായി വിജയൻ വ്യവസായ മന്ത്രിയുമായി ചേർന്ന് നടത്തിയ വാർത്താസമ്മേളനത്തിൽ, ചെറുകിട സംരംഭങ്ങൾക്കായുള്ള വായ്പ ആനുകൂല്യങ്ങൾ കൂട്ടുന്നതിന്റെ കാര്യത്തിൽ വിശദീകരണം നൽകി. ഈ പദ്ധതി വഴി 5000 ചെറുകിട വ്യവസായങ്ങൾ പ്രോത്സാഹനം ലഭിക്കും.",2
"കേരളത്തിലെ വിദ്യാർത്ഥികൾക്ക് പുതിയതായ ടെക്‌നോളജി പ്രോഗ്രാമുകൾ അവതരിപ്പിക്കുന്നു. സംസ്ഥാന സർക്കാരിന്റെ ആഭിമുഖ്യത്തിൽ, 2024-ൽ ആരംഭിക്കുന്ന ഈ പ്രോഗ്രാമുകൾ, വിദ്യാർത്ഥികളെ പുതിയ സാങ്കേതിക വിദ്യകളിൽ പരിശീലിപ്പിക്കാനും, സ്റ്റാർട്ട്-അപ്പ് സംരംഭങ്ങൾ ആരംഭിക്കാൻ പ്രചോദനം നൽകാനും ഉദ്ദേശിക്കുന്നു. വീഡിയോഗെയിം ഡെവലപ്മെന്റ്, ഡാറ്റാ അനലിറ്റിക്സ്, ആർട്ടിഫിഷ്യൽ ഇന്റലിജൻസ് തുടങ്ങിയ മേഖലകളിൽ പരിശീലനം നൽകും.",3
"ഇന്ത്യയുടെ ക്രിക്കറ്റിനായുള്ള വലിയ പ്രതീക്ഷയായ രോഹിത് ശര്‍മ, അടുത്ത ലോകകപ്പ് മത്സരത്തിന് മുമ്പായി തന്റെ പരിശീലനം ശക്തമാക്കി. ടീമിന്റെ പുതിയ പരിശീലകനായ ശിഖര്‍ ധവന്‍, രോഹിതിന്റെ ഫോമില്‍ ഉറച്ച വിശ്വാസം പ്രകടിപ്പിച്ചു. അടുത്ത മത്സരത്തില്‍ അദ്ദേഹം മികച്ച പ്രകടനം കാഴ്ചവയ്ക്കുമെന്ന് പ്രതീക്ഷിക്കുന്നു. ഇന്ത്യയുടെ ലോകകപ്പ് സംഘത്തിന്റെ ഭാഗമായാണ് രോഹിത് മത്സരിക്കുന്നത്.",1
"ഇന്നലെ നടന്ന അന്താരാഷ്ട്ര ക്രിക്കറ്റ് മത്സരത്തിൽ ഇന്ത്യ, ഓസ്ട്രേലിയയെ 5 വിക്കറ്റുകൾക്കു കീഴ്പ്പെടുത്തി. ഒറ്റ ദിവസം മത്സരം എന്നതിന്റെ ഭാഗമായി ഇന്ത്യയ്ക്ക് 250 റൺസ് വിജയത്തിനായി നേടേണ്ടിവന്നു. ധോണിയുടെ കായികതാപനത്തിൽ ഇന്ത്യയുടെ ടീം മികച്ച പ്രകടനം കാഴ്ചവെച്ചു. ഈ വിജയത്തോടെ, ഇന്ത്യയുടെ ലോകകപ്പ് യോഗ്യതയെ സംബന്ധിച്ചുള്ള പ്രതീക്ഷകൾ ഉയർത്തിയിരിക്കുകയാണ്.",1
"ഇന്ത്യയുടെ യുവ ക്രിക്കറ്റർമാർക്ക് വേണ്ടി പ്രധാനമന്ത്രിയുടെ സ്‌പോർട്സ് സ്‌കോളർഷിപ്പ് പ്രഖ്യാപിച്ചു. 16-22 വയസ്സുകാരായ യുവാക്കൾക്ക് മികച്ച പ്രകടനത്തിന് 50,000 രൂപയുടെ ധനസഹായം ലഭിക്കും. കഴിഞ്ഞ ആഴ്ച നടന്ന ഒരു പരിപാടിയിലാണ് ഈ അറിയിപ്പ് പുറത്തുവിട്ടത്. ഇതിലൂടെ കായികം പ്രോത്സാഹിപ്പിക്കുകയും, യുവാക്കളുടെ കഴിവുകൾ വികസിപ്പിക്കുകയും ചെയ്യാനാണ് ലക്ഷ്യം.",1
"കേരളത്തിലെ കർഷകർക്ക് പുതിയ സംരംഭങ്ങൾ ആരംഭിക്കാനുള്ള അവസരം നൽകുന്ന കർഷക വിപണി പദ്ധതിയുടെ ഉദ്ഘാടനം ഇന്ന് സംസ്ഥാനത്തെ വിവിധ കേന്ദ്രങ്ങളിൽ നടന്നുവെന്ന് കൃഷി മന്ത്രി അറിയിച്ചു. കർഷകർക്ക് നിക്ഷേപങ്ങൾ നേടാനും ഉല്പന്നങ്ങൾ വിൽക്കാനും സഹായിക്കുന്ന ഈ പദ്ധതി, രാജ്യത്തെ കൃഷി വികസനത്തിന് വലിയ പങ്കുവഹിക്കും.",2
"കേരളത്തിലെ വിവിധ മേഖലകളില്‍ നിക്ഷേപം ആകർഷിക്കുന്നതിനായി, സംസ്ഥാന സര്‍ക്കാര്‍ പുതിയ പദ്ധതി പ്രഖ്യാപിച്ചു. ഈ പദ്ധതി പ്രകാരം, ചെറുകിട വ്യവസായങ്ങൾക്ക് സൗജന്യ പരിശീലനവും സാമ്പത്തിക സഹായവും ലഭ്യമാക്കും. ഇതിനാൽ, പുതിയ തൊഴിൽ അവസരങ്ങൾ സൃഷ്ടിക്കാനും സംരംഭകർക്ക് അവരുടെ ബിസിനസ്സ് വികസിപ്പിക്കാനുമുള്ള സാധ്യതകൾ വർദ്ധിക്കും. പ്രധാനമന്ത്രി നരേന്ദ്ര മോദി ഈ പദ്ധതിയുടെ ഉദ്ഘാടനം നടത്തി.",2
"ഇന്ത്യയുടെ വനിതാ ക്രിക്കറ്റ് ടീം, 2023ലെ ലോകകപ്പ് മത്സരത്തില്‍ മികച്ച പ്രകടനം കാഴ്ചവച്ചിരിക്കുന്നു. ഇന്ന് നടന്ന സെമി ഫൈനലില്‍ ന്യൂസിലാണ്ടിനെ തകര്‍ത്ത ഇന്ത്യ, ഫൈനലിലേക്ക് കടക്കാന്‍ തയ്യാറാകുന്നു. താരങ്ങളില്‍ നിന്നുള്ള മികച്ച പ്രകടനങ്ങള്‍ ആരാധകരെ ആവേശത്തിലാഴ്ത്തിയിരിക്കുകയാണ്.",1
"കേരളത്തിലെ വിദ്യാർത്ഥികൾക്ക് വേണ്ടി തയ്യാറാക്കിയ പുതിയ ആപ്ലിക്കേഷൻ, പഠനത്തിന്റെ ഗുണമേന്മ വർദ്ധിപ്പിക്കാൻ സഹായിക്കും. വിദ്യാർത്ഥികളുടെ പഠനശേഷി മെച്ചപ്പെടുത്താനും അധ്യാപകരുടെ നിർദ്ദേശങ്ങൾ എളുപ്പത്തിൽ ലഭ്യമാക്കാനും ഈ ആപ്ലിക്കേഷൻ രൂപകൽപ്പന ചെയ്തിട്ടുണ്ട്. ടെക്‌നോളജി രംഗത്ത് ഈ നൂതനമായ പുരോഗതികൾക്ക് വലിയ പ്രതീക്ഷകൾ ഉണ്ട്.",3
"കേരളത്തിലെ പ്രശസ്തനായ നടൻ മോഹൻലാൽ, അടുത്ത പ്രദർശനമായ ""മമ്മൂക്ക താൻ മീനുകുളം"" എന്ന ചിത്രത്തിലെ പ്രധാന കഥാപാത്രമായി എത്തുന്നു. ഈ ചിത്രത്തിന്‍റെ ചിത്രീകരണം അടുത്ത മാസം ആരംഭിക്കും. നടൻ സ്വയം ആദ്യത്തെ പ്രചാരണ പോസ്റ്റർ പുറത്തിറക്കിയിട്ടുണ്ട്. ആരാധകർ ഈ ചിത്രത്തിനുവേണ്ടി കാത്തിരിക്കുകയാണ്.",0
