Category,Headline,Article,Final_Category
ART & STAGE,ജലച്ചായത്തിന്‍റെ നുറുങ്ങുകള്‍ പകര്‍ന്ന് നല്‍കി ആര്‍ട്ട് ബൈ ചില്‍ഡ്രന്‍ പരിശീലന കളരി,കൊച്ചി>  ജലച്ചായത്തില്‍ ശ്രദ്ധിക്കേണ്ട കാര്യങ്ങള്‍ ചിത്രകലയെ ഗൗരവമായി കാണുന്ന വിദ്യാര്‍ത്ഥികള്‍ക്ക് മനസിലാക്കി നല്‍കുന്നതായിരുന്നു ബിനാലെ നാലാം ലക്കത്തിലെ ആര്‍ട്ട് റൂമില്‍ സംഘടിപ്പിച്ച പരിശീലന കളരി. കുട്ടികളിലെ കലാഭിരുചി വര്‍ധിപ്പിക്കുന്നതിനായി കൊച്ചി ബിനാലെ ഫൗണ്ടേഷന്‍ നടത്തുന്ന ആർട്ട് ബൈ ചില്‍ഡ്രിന്‍ പദ്ധതിയുടെ ഭാഗമായാണ് ഫോര്‍ട്ട്കൊച്ചി കബ്രാള്‍ യാര്‍ഡില്‍ ആര്‍ട്ട് റൂം തുടങ്ങിയത്. പ്രശസ്ത ചിത്രകാരനായ സുനില്‍ ലിനസ്ഡിയാണ് ജലച്ചായ ചിത്രരചനയെക്കുറിച്ച് കുട്ടികള്‍ക്ക് ക്ലാസുകളെടുത്തത്.,entertainment
CINEMA,"ഇതാ ഒറിജിനൽ ആൻഡ്രോയിഡ്‌ കുഞ്ഞപ്പൻ; റോബോട്ടിനുള്ളിലെ ""കുഞ്ഞുമനുഷ്യ'നെ വെളിപ്പെടുത്തി അണിയറ പ്രവർത്തകർ","2019 ല്‍ പുറത്തിറങ്ങിയ സിനിമകളില്‍ ഏറ്റവും കൂടുതല്‍ പ്രേക്ഷക സ്വീകാര്യത നേടിയ ചിത്രമാണ് ‘ആന്‍ഡ്രോയ്‌ഡ് കുഞ്ഞപ്പന്‍’. സുരാജ് വെഞ്ഞാറമൂട് കേന്ദ്ര കഥാപാത്രത്തെ അവതരിപ്പിച്ച സിനിമ പ്രായഭേദമന്യേ എല്ലാ മലയാളികളും ഒരുപോലെ സ്വീകരിച്ചു.



ഒരു റോബോട്ടിനെ കേന്ദ്രീകരിച്ചാണ് ‘ആന്‍ഡ്രോയ്‌ഡ് കുഞ്ഞപ്പന്‍’ എന്ന സിനിമ കഥ പറയുന്നത്. ആ റോബോട്ട് ആരാണെന്ന് അറിയാന്‍ സിനിമ കണ്ട എല്ലാവര്‍ക്കും ആഗ്രഹമുണ്ടായിരുന്നു. ഇപ്പോള്‍ ഇതാ സിനിമയുടെ അണിയറപ്രവര്‍ത്തകര്‍ തന്നെ അത് വെളിപ്പെടുത്തിയിരിക്കുന്നു. മലയാളികള്‍ തിരഞ്ഞുനടന്ന ആ ആന്‍ഡ്രോയ്‌ഡ് കുഞ്ഞപ്പന്‍ ആരാണെന്ന് വെളിപ്പെടുത്തിയത് നടന്‍ സുരാജ് വെഞ്ഞാറമൂട് തന്നെയാണ്. മനോരമ ഓണ്‍ലൈനിലൂടെയാണ് അണിയറപ്രവര്‍ത്തകര്‍ റോബോട്ടിനകത്ത് ആരായിരുന്നു എന്ന് തുറന്നുപറഞ്ഞത്.



നടന്‍ സൂരജ് തേലക്കാടാണ് യഥാര്‍ഥ കുഞ്ഞപ്പന്‍. റോബോട്ടിനകത്തു നിന്ന് ‘ആന്‍ഡ്രോയ്‌ഡ് കുഞ്ഞപ്പന്‍’ എന്ന സിനിമയ്ക്ക് ജീവന്‍ നല്‍കിയത് സൂരജാണ്. ചാര്‍ലി, അമ്പിളി തുടങ്ങിയ സിനിമകളില്‍ അഭിനയിച്ചിട്ടുള്ള താരമാണ് സൂരജ്. നിരവധി സ്റ്റേജ് ഷോകളിലും റിയാലിറ്റി ഷോകളിലും പരിചിത മുഖമാണ് സൂരജ്.



സ്വന്തം മുഖം കാണിക്കാതെ ഒരു ‍‍ടൈറ്റിൽ കഥാപാത്രത്തെ അവതരിപ്പിച്ച് സിനിമ ഹിറ്റാക്കിയ സൂരജ് ആ വിജയത്തിന്റെ സന്തോഷത്തിലാണ്. സിനിമയുടെ ആസ്വാദനത്തിന് തടസമാകേണ്ട എന്നു കരുതിയാണ് സൂരജാണ് റോബോട്ട് എന്ന കാര്യം പുറത്തു വിടാതിരുന്നതെന്ന് ആൻഡ്രോയ്‌ഡ് കുഞ്ഞപ്പൻ സിനിമയുടെ സംവിധായകൻ രതീഷ് പൊതുവാൾ പറഞ്ഞു. കുഞ്ഞപ്പന്റെ രണ്ടാം ഭാഗം ഒരുക്കാൻ പദ്ധതിയുണ്ടെന്നും എന്നാൽ അതു ഉടനെ കാണില്ലെന്നും സംവിധായകൻ കൂട്ടിച്ചേർത്തു.



കഥാപാത്രത്തിനു വേണ്ടി സൂരജ് കാണിച്ച സമർപ്പണത്തെ സുരാജ് വെഞ്ഞാറമൂടും സിനിമയിലെ മറ്റൊരു താരം സെെജു കുറുപ്പും അഭിനന്ദിച്ചു. ഒരു സയൻസ്- ഫിക്ഷൻ ചിത്രമാണെങ്കിലും തമാശകളും വൈകാരിക നിമിഷങ്ങളുമെല്ലാം ചേർന്ന് പ്രേക്ഷകരെ സ്പർശിക്കാൻ ‘ആൻഡ്രോയ്‌ഡ് കുഞ്ഞപ്പന്’ സാധിക്കുന്നുണ്ട്. ഒരു റോബോർട്ടിനെ കേന്ദ്രകഥാപാത്രമായി കൊണ്ടുവന്ന് നവാഗതനായ രതീഷ് ബാലകൃഷ്ണൻ പൊതുവാൾ സംസാരിക്കുന്നത് മനുഷ്യർക്കിടയിലെ ബന്ധങ്ങളെ കുറിച്ചു തന്നെയാണ്.



വാർധക്യകാലത്തെ ഒറ്റപ്പെടലിനെ കുറിച്ചും മിണ്ടി പറഞ്ഞിരിക്കാൻ ഒരാളെങ്കിലുമുണ്ടെങ്കിൽ അതോരോ ജീവിതത്തിലും ഉണ്ടാക്കുന്ന പോസിറ്റീവായ മാറ്റങ്ങളെ കുറിച്ചുമെല്ലാം സിനിമ സംസാരിക്കുന്നുണ്ട്. വെറുതെ ലെക്ച്ചർ എടുത്തു പോവാതെ, പ്രേക്ഷകനു അനുഭവവേദ്യമാവുന്ന രീതിയിൽ പറയാനുദ്ദേശിച്ച കാര്യങ്ങൾ അവതരിപ്പിക്കുകയാണ് സംവിധായകൻ രതീഷ്.",entertainment
Kerala,കുറഞ്ഞ വേതനം: നിയമഭേദഗതി ഹൈക്കോടതി ശരിവച്ചു,"കൊച്ചി

തൊഴിലാളികൾക്ക് കുറഞ്ഞ വേതനം ഉറപ്പാക്കാൻ സർക്കാർ കൊണ്ടുവന്ന നിയമഭേദഗതി ഹൈക്കോടതി ശരിവച്ചു. ശമ്പള വിതരണത്തിൽ സുതാര്യത ഉറപ്പാക്കുന്ന ഇലക്ട്രോണിക് വേജ്പേയ്‌മെന്റ് സംവിധാനവും അംഗീകരിച്ചു. മൂന്നു മാസത്തിനകം""വേതന രജിസ്റ്റർ' തൊഴിലുടമകൾ വേജ്പേയ്‌മെന്റ് സംവിധാനത്തിൽ നിർബന്ധമായും അപ്‌‌ലോഡ് ചെയ്യണമെന്ന് ഉത്തരവിട്ടു. ശമ്പളദിനത്തിന് മൂന്നുദിവസം മുമ്പ്‌ രജിസ്റ്റർ അപ്‌‌ലോഡ് ചെയ്ത്, ഒരു ദിവസം മുമ്പ്‌ ബിൽ തൊഴിലാളിക്ക് കൈമാറിയിരിക്കണമെന്ന ഭേദഗതി വ്യവസ്ഥയും ശരിവച്ചു. നിയമ ലംഘനമുണ്ടായാൽ തൊഴിലുടമയ്‌ക്കെതിരെ സർക്കാരിന് നടപടിയെടുക്കാം.",business
SPORTS,"ക്യാപ്‌റ്റൻ മാറി, കളി മാറുമോ",കൊച്ചി > രഞ്‌ജി ട്രോഫി ക്രിക്കറ്റിലെ മോശം പ്രകടനത്തിന്‌ പിന്നാലെ കേരള ടീമിൽ ക്യാപ്‌റ്റന്‌ മാറ്റം. സച്ചിൻ ബേബിയെ മാറ്റി ജലജ്‌ സക്‌സേനയെ ക്യാപ്‌റ്റനായി നിയമിച്ചു. ഒങ്കോളിൽ ആന്ധ്രയ്‌ക്കെതിരെ 27ന്‌ നടക്കുന്ന മത്സരത്തിൽ ജലജ്‌ ടീമിനെ നയിക്കും.കഴിഞ്ഞവർഷം സെമിവരെ കടന്ന്‌ അത്ഭുതംകാട്ടിയ കേരള ടീമിന്‌ ഇക്കുറി നേടാനായത് ഒരുജയംമാത്രം. ഒരു സമനില. നാല്‌ തോൽവി. ഇതിൽ രാജസ്ഥാനെതിരെ ഒന്നര ദിവസത്തിനുള്ളിൽ ഇന്നിങ്‌സ്‌ തോൽവി വഴങ്ങി. സച്ചിൻ ബേബിയുടെ ക്യാപ്‌റ്റൻസി ചോദ്യം ചെയ്യപ്പെട്ടു.,sports
PRAVASI,കുവൈറ്റ് എൻജിനീയേഴ്സ് ഫോറം മുഖ്യമന്ത്രിയുടെ ദുരിതാശ്വാസ നിധിയിലേക്ക് സംഭാവന നൽകി,"തിരുവനന്തപുരം >  കെഇഎഫ് അംഗങ്ങളിൽ നിന്ന് ഏഴ്‌ പൂർവ വിദ്യാർത്ഥി സംഘടനകൾ വഴി സമാഹരിച്ച തുക മുഖ്യമന്ത്രി പിണറായി വിജയന് കെഇഎഫ് ജനറൽ കൺവീനർ അബ്ദുൽ സഗീർ കൈമാറി. ഉപദേശക സമിതി അംഗം സാൻസിലാൽ സന്നിഹിതനായിരുന്നു.  സെക്രട്ടറിയേറ്റിൽ മുഖ്യമന്ത്രിയെ സന്ദർശിച്ചാണ് കുവൈറ്റിൽ നിന്നുള്ള സഹായധനം ഏൽപ്പിച്ചത്. 2018ലെ മഹാ പ്രളയത്തെ തുടർന്നും കെഇഎഫ് സമാന രീതിയിൽ പ്രതികരിച്ചിരുന്നു.



ഇന്ത്യക്കാരായ എൻജിനീയർമാർ കുവൈത്തിൽ നേരിടുന്ന എൻഒസി  പ്രശ്നം പരിഹരിക്കാൻ ഇടപെടണം എന്ന് അഭ്യർത്ഥിച്ചുകൊണ്ട്  നിവേദനം മുഖ്യമന്ത്രിക്ക്  നൽകി. കുവൈറ്റിലെ  മലയാളി എൻജിനീയർമാരുടെ സംഘടനയായ കെഇഎഫിൽ ഇന്ത്യയിലെ വിവിധ സ്ഥാപനങ്ങളിൽ നിന്ന് ബിരുദം നേടിയ 1500 ഓളം പൂർവ്വവിദ്യാർത്ഥികൾ  അംഗങ്ങൾ ആണ്.",business
EDITORIAL,നാറ്റോയിലും തമ്മിലടി,ശീതയുദ്ധത്തിന്റെ അവശിഷ്ടമായി ഇന്നും നിലനിൽക്കുന നാറ്റോയുടെ (ഉത്തര അത്‌ലാന്റിക്‌ ഉടമ്പടി സഖ്യം) രണ്ടുദിവസംനീണ്ട ഉച്ചകോടി ലണ്ടനിൽ സമാപിച്ചു. മുതലാളിത്തലോകത്തിലെ പ്രതിസന്ധിയും തർക്കങ്ങളും ഉയർന്നുകേട്ട ഉച്ചകോടിയായിരുന്നു ലണ്ടനിലേത്. ഉച്ചകോടിക്കുശേഷം നടത്താറുള്ള പതിവ് പത്രസമ്മേളനത്തിൽപോലും പങ്കെടുക്കാതെ അമേരിക്കൻ പ്രസിഡന്റ് ഡോണൾഡ് ട്രംപ് വാഷിങ്‌ടണിലേക്ക് മടങ്ങിപ്പോയി. ഉച്ചകോടിയിൽ പങ്കെടുത്ത മറ്റു രാഷ്ട്രങ്ങളിലെ നേതാക്കൾ ബക്കിങ്‌ഹാം കൊട്ടാരത്തിൽവച്ച് ട്രംപിനെ പരിഹസിക്കുന്ന വീഡിയോ പുറത്തായ പശ്ചാത്തലത്തിലായിരുന്നു ഈ നടപടി.,business
ART & STAGE,നിശബ്ദരാക്കപ്പെട്ടവരുടെ ശബ്ദമായി ശില്‍പ ഗുപ്തയുടെ ബിനാലെ പ്രതിഷ്ഠാപനം,കൊച്ചി> ഇരുട്ടു നിറഞ്ഞ മുറിയിലേക്ക് കയറുമ്പോള്‍ അരണ്ട വെളിച്ചത്തില്‍ കാണുന്നത് മച്ചില്‍ നിന്നും തൂക്കിയിട്ടിരിക്കുന്ന മൈക്കുകളാണ്. ഇതില്‍ വ്യക്തവും അവ്യക്തവുമായ ശബ്ദങ്ങളും കേള്‍ക്കാം. കൊച്ചി -മുസിരിസ് ബിനാലെ നാലാം ലക്കത്തിന്റെ പ്രധാനവേദിയായ ആസ്പിന്‍വാള്‍ ഹൗസില്‍ ശില്‍പ ഗുപ്ത ഒരുക്കിയിട്ടുള്ള പ്രതിഷ്ഠാപനം തടവറയില്‍ നിന്നുയര്‍ന്ന നൂറ് കവിതകള്‍ ഉള്‍പ്പെടുത്തിയുള്ളവയാണ്. എട്ടാം നൂറ്റാണ്ടു മുതലുള്ള കവിതകള്‍ ശില്‍പ ഗുപ്ത തന്റെ പ്രതിഷ്ഠാപനത്തില്‍ ഉള്‍പ്പെടുത്തിയിട്ടുണ്ട്.,entertainment
SPORTS,സന്തോഷ്‌ ട്രോഫി ഏപ്രിൽ 15 മുതൽ,"ഐസ്വാൾ

സന്തോഷ്‌ ട്രോഫി ഫുട്‌ബോൾ ടൂർണമെന്റ്‌ ഏപ്രിൽ 15 മുതൽ മിസോറമിൽ നടക്കും. പത്ത്‌ ടീമുകൾ പങ്കെടുക്കുന്ന ഫൈനൽ റൗണ്ടിൽ കേരളം എ ഗ്രൂപ്പിലാണ്‌. ഡൽഹി, സർവീസസ്‌, ജാർഖണ്ഡ്‌, മേഘാലയ എന്നിവയാണ്‌ മറ്റ്‌ ടീമുകൾ. ബി ഗ്രൂപ്പിൽ ബംഗാൾ, ഗോവ, മിസോറം, കർണാടക, പഞ്ചാബ്‌ ടീമുകളുണ്ട്‌.",sports
CINEMA,"പ്രിയ ഇറാന്‍, മാപ്പ് ; അമേരിക്ക നിങ്ങളുടെ രാജ്യത്തെയും ജനങ്ങളെയും അവഹേളിച്ചു",അമേരിക്കൻ സേനയുടെ  കടന്നാക്രമണത്തിൽ ഇറാനോട് മാപ്പപേക്ഷിച്ച്  പ്രമുഖ ഹോളിവുഡ് താരവും എഴുത്തുകാരിയുമായ റോസ് മക്‌ഗോവൻ. ട്രംപിന്റെ ശക്തയായ വിമർശകയായ താരം  ഹോളിവുഡിനെ പിടിച്ചുലച്ച മീടൂ പ്രസ്ഥാനത്തിന്റെ തുടക്കക്കാരികൂടിയാണ്. താരത്തിന്റെ ട്വിറ്റർ പ്രതികരണം അമേരിക്കയുടെ ഇറാൻ നിലപാടിനെക്കുറിച്ചുള്ള ചൂടുള്ള ചർച്ചയ്ക്കാണ് വഴിവച്ചത്.,entertainment
CINEMA,"കാത്തിരിപ്പ്‌ അവസാനിച്ചു; ""സെക്‌സ്‌ എജ്യൂക്കേഷൻ' രണ്ടാം സീസൺ ആരംഭിച്ചു","സമീപകാലത്ത് ഏറെ ആരാധകരുള്ള നെറ്റ്ഫ്ളിക്സ് സീരിസാണ് സെക്സ് എജ്യുക്കേഷന്‍. ഓട്ടിസ് എന്ന പതിനാറുകാരന്റെയും കൂട്ടുകാരുടെയും കഥ പറഞ്ഞ സീരിസ് 40 ദശലക്ഷത്തിലധികം പ്രേക്ഷകരാണ് ഓണ്‍ലൈന്‍ സ്ട്രീമിങ്ങിലൂടെ മാത്രം കണ്ടത്.



വന്‍ വിജയമായ സീരിസിന്റെ രണ്ടാം ഭാഗം നെറ്റ്ഫ്‌ളിക്‌സില്‍ ആരംഭിച്ചു. ലോറി നൂണ്‍ ആണ് സീരിസിന്റെ സംവിധാനം. 8 എപ്പിസോഡുകളായി അവതരിപ്പിച്ച സീരിസിന്റെ രണ്ടാം സീസണ്‍ ജനുവരി 17നാണ് ആരംഭിച്ചത്.



ഓട്ടിസിന്റെ അമ്മ ഒരു സെക്സ് തെറാപ്പിസ്റ്റ് ആണ്. സുഹൃത്ത് മാവെയുടെ സഹായത്താലെ സക്കൂളിലെ വിദ്യാര്‍ഥികളുടെ ലൈംഗീക പ്രശ്നങ്ങള്‍ ഓട്ടിസ് പരിഹരിക്കുന്നതും മറ്റുമാണ് സെക്സ് എജ്യുക്കേഷന്റെ കഥ. അസ ബട്ടര്‍ ഫീല്‍ഡ്, ഗില്ലിയന്‍ ആന്‍ഡ്രഴ്സണ്‍, ഇമ്മ, തുടങ്ങിയവരാണ് പ്രധാനകഥാപാത്രങ്ങളെ അവതരിപ്പിക്കുന്നത്.",entertainment
