text,label,model
ഇന്ത്യൻ ടെലികോം കമ്പനികൾ 5G സേവനം ആരംഭിച്ചു.  പ്രധാന നഗരങ്ങളിൽ ഉയർന്ന വേഗത ഇന്റർനെറ്റ് ലഭ്യമാകും.  ഡാറ്റാ വിലയിൽ മാറ്റമില്ലെന്ന് ഉറപ്പാക്കി. 2. **കോവിഡ് വാക്സിൻ ഓർഡർ സിസ്റ്റത്തിൽ പിശക്** കോവിഡ് വാക്സിൻ ഓൺലൈൻ ഓർഡർ സിസ്റ്റത്തിൽ സാങ്കേതിക പ്രശ്നങ്ങൾ.  ചില ആശുപത്രികൾക്ക് വാക്സിൻ ലഭിക്കുന്നതിൽ കാലതാമസം. 3. **സൈബർ സുരക്ഷാ ഭീഷണി വർദ്ധിച്ചു** ഇന്ത്യയിൽ സൈബർ ആക്രമണങ്ങൾ ഗണ്യമായി വർദ്ധിച്ചിട്ടുണ്ട്.  പുതിയ മാൽവെയർ വൈറസ് പടർന്നു പിടിച്ചു. 4. **ഇലക്ട്രിക് വാഹനങ്ങൾക്ക് സർക്കാർ സബ്സിഡി** പുതിയ ഇലക്ട്രിക് വാഹനങ്ങൾ വാങ്ങുന്നവർക്ക് സർക്കാർ സഹായം.  പാരിസ്ഥിതിക ലക്ഷ്യങ്ങൾ നേടാനുള്ള പദ്ധതി. 5. **ആർട്ടിഫിഷ്യൽ ഇന്റലിജൻസ് അടിസ്ഥാനമാക്കിയുള്ള പുതിയ ആപ്പ്** ഇന്ത്യൻ സ്റ്റാർട്ടപ്പ് കമ്പനി ആർട്ടിഫിഷ്യൽ ഇന്റലിജൻസ് ഉപയോഗിച്ച് പുതിയ മെഡിക്കൽ ആപ്പ് വികസിപ്പിച്ചെടുത്തു.,3,sarvam
കേരള സർക്കാർ സ്റ്റാർട്ടപ്പ് സംരംഭങ്ങൾക്ക് സഹായത്തിനായി ഒരു പുതിയ സബ്സിഡി പദ്ധതി പ്രഖ്യാപിച്ചു.  യുവതലമുറയെ പ്രോത്സാഹിപ്പിക്കുന്നതിനും തൊഴിൽ സൃഷ്ടിക്കാനും ഈ പദ്ധതി ലക്ഷ്യമിടുന്നു.  വിജയകരമായ സംരംഭങ്ങൾക്ക് സർക്കാർ സാമ്പത്തിക സഹായം നൽകും.,2,sarvam
"ലോകബാങ്കിന്റെ പുതിയ റിപ്പോർട്ട് പ്രകാരം, കോവിഡ്-19 പാൻഡെമിക് ലോകത്തിന്റെ അർത്ഥവ്യവസ്ഥയെ ഗുരുതരമായി ബാധിച്ചു.  വളർച്ചാ നിരക്ക് കുറഞ്ഞു വന്നത് ലോകമെമ്പാടുമുള്ള രാജ്യങ്ങളെ ബാധിച്ചു.  ഇന്ത്യയിലെ സാമ്പത്തിക വളർച്ചയിലും പ്രതികൂലമായ പ്രത്യാഘാതങ്ങൾ ഉണ്ടായിട്ടുണ്ട്.",2,sarvam
"കേന്ദ്ര സർക്കാർ ക്രിപ്റ്റോ കറൻസി ഇടപാടുകൾക്ക് പുതിയ നിയന്ത്രണങ്ങൾ ഏർപ്പെടുത്താൻ പദ്ധതിയിടുന്നു.  നിയമനിർമാണ പ്രക്രിയ തുടരുകയാണ്, ഇത് ക്രിപ്റ്റോ വിപണിയെ ഗണ്യമായി ബാധിക്കുമെന്ന് വിദഗ്ധർ പ്രവചിക്കുന്നു.",2,sarvam
ആഗോള എണ്ണ വിലകൾ വൻതോതിലുള്ള ഏറ്റക്കുറച്ചിലുകൾ കാണുന്നു.  ഇത് ഇന്ത്യയിലെ ഇൻഫ്ലേഷൻ നിരക്കിനെ ഗണ്യമായി ബാധിക്കുമെന്ന് സാമ്പത്തിക വിദഗ്ധർ മുന്നറിയിപ്പ് നൽകുന്നു.  സർക്കാർ ഈ സാഹചര്യം നിരീക്ഷിക്കുകയാണ്.,2,sarvam
കേരളത്തിലെ ചെറുകിട വ്യവസായങ്ങൾക്ക് സാമ്പത്തിക സഹായം നൽകുന്നതിനായി ഒരു പുതിയ പദ്ധതി സർക്കാർ ആരംഭിക്കുന്നു.  വ്യവസായങ്ങളുടെ ഉൽപാദനക്ഷമത വർദ്ധിപ്പിക്കുന്നതിനും ജോലി അവസരങ്ങൾ സൃഷ്ടിക്കുന്നതിനും ഈ പദ്ധതി ലക്ഷ്യമിടുന്നു.,2,sarvam
1. **ഇന്ത്യൻ ക്രിക്കറ്റ് ടീമിന് ചീഫ് കോച്ച് മാറ്റം** ഇന്ത്യൻ ക്രിക്കറ്റ് ടീമിന്റെ ചീഫ് കോച്ച് സ്ഥാനത്തുനിന്ന് രാജിനമ എന്ന് പ്രഖ്യാപിച്ചു. ബോർഡ് ഓഫ് കൺട്രോൾ ഫോർ ക്രിക്കറ്റ് (BCCI) പുതിയ കോച്ചിനെ തിരഞ്ഞെടുക്കാനുള്ള പ്രക്രിയ ആരംഭിച്ചിരിക്കുന്നു.,1,sarvam
മലയാളം ഫുട്ബോൾ ലീഗിന്റെ (MFL) 2024 സീസൺ ആരംഭിച്ചു. കേരള ബ്ലാസ്റ്റേഴ്സ് ടീം ആദ്യ മത്സരത്തിൽ ശക്തമായ പ്രകടനം കാഴ്ചവച്ചു.,1,sarvam
കോഴിക്കോടിൽ നടന്ന ദേശീയ മാരത്തൺ റേസിൽ കേരള ആത്ലറ്റുകൾ മികച്ച പ്രകടനം കാഴ്ചവച്ചു. സ്ത്രീകളുടെ വിഭാഗത്തിൽ കേരളത്തിൽ നിന്നുള്ള രണ്ട് ആത്ലറ്റുകൾ പുരസ്കാരം നേടി.,1,sarvam
ഇന്ത്യൻ ബാഡ്മിന്റൺ ടീം ഏഷ്യൻ ചാമ്പ്യன്‌ഷിപ്പിൽ സ്വർണ്ണം നേടി. റിപ്പിൾസ് ടീം ഫൈനൽ മത്സരത്തിൽ ചൈനയെ പരാജയപ്പെടുത്തി.,1,sarvam
