text,label,model
കൊച്ചിയിലെ ജവഹർലാൽ നെഹ്റു സ്റ്റേഡിയത്തിൽ നടന്ന ഐപിഎൽ മത്സരത്തിൽ രാജസ്ഥൻ റോയൽസ് ചെന്നൈ സൂപ്പർ കിംഗ്സിനെ 5 വിക്കറ്റിന് പരാജയപ്പെടുത്തി. രാജസ്ഥൻ ടീമിന് വിജയം നേടിക്കൊടുത്തത് യാഷസ്വി ജയസ്വാളിന്റെ അർദ്ധശതകവും ട്രെന്റ് ബോൾട്ടിന്റെ മൂന്ന് വിക്കറ്റ് എടുത്ത സുപ്രഭാതമാണ്. ഈ വിജയത്തോടെ റോയൽസ് പോയിന്റ് പട്ടികയിൽ രണ്ടാം സ്ഥാനത്തേക്ക് ഉയർന്നു.,1,deepseek
ഇന്ത്യയിലെ ആദ്യത്തെ സ്വദേശീയ ആപ്പിൾ സിലിക്കൺ ചിപ്പ് 'അയോധ്യ' പ്രഖ്യാപിച്ചു. ഇസ്രോയുടെ സഹകരണത്തോടെ ഡിജിറ്റൽ ഇന്ത്യ കോർപ്പറേഷൻ നിർമ്മിച്ച ഈ ചിപ്പ് രാജ്യത്തെ ഡിജിറ്റൽ ഇൻഫ്രാസ്ട്രക്ചറിന് ശക്തി നൽകും. സുരക്ഷിതമായ ഡാറ്റാ സംഭരണത്തിനും വേഗതയേറിയ ഡാറ്റ പ്രോസസ്സിംഗിനുമായി ഈ ചിപ്പ് രൂപകൽപ്പന ചെയ്തിരിക്കുന്നു.,3,deepseek
തിരുവനന്തപുരം: ഇന്ത്യൻ ക്രിക്കറ്റ് ടീമിന്റെ പുതിയ കപ്പ്റ്റനായി റോഹിത് ശർമ്മ തിരഞ്ഞെടുക്കപ്പെട്ടു. ബി.സി.സി.ഐ ഇന്ന് നടത്തിയ പത്രസമ്മേളനത്തിൽ ഈ തീരുമാനം പ്രഖ്യാപിച്ചു. ടി-20 ലോകകപ്പിന് ശേഷം വിരാട് കോഹ്ലി പദവി രാജിവച്ചതോടെയാണ് ഈ മാറ്റം വന്നത്. റോഹിതിന്റെ നേതൃത്വത്തിൽ ടീം ഏറ്റെടുക്കുന്ന അടുത്ത ടൂർ ന്യൂസിലാണ്ടിനെതിരായതാണ്.,1,deepseek
ഇന്ത്യയിലെ ആദ്യത്തെ ഹ്യൂമനോയ്ഡ് റോബോട്ട് 'രാഷ്മി' പുറത്തിറങ്ങി. കേരളത്തിലെ ഒരു സ്റ്റാർട്ട്അപ്പ് കമ്പനിയാണ് ഈ നൂതന ഉപകരണം വികസിപ്പിച്ചത്. മലയാളം ഉൾപ്പെടെ 100-ലധികം ഭാഷകളിൽ സംസാരിക്കാനും സങ്കീർണ്ണമായ ചോദ്യങ്ങൾക്ക് ഉത്തരം നൽകാനും രാഷ്മിക്ക് കഴിയും. ഇത് ആർട്ടിഫിഷ്യൽ ഇന്റലിജൻസ് മേഖലയിലെ ഒരു പ്രധാന നേട്ടമായി കണക്കാക്കപ്പെടുന്നു.,3,deepseek
"മലയാള സിനിമാ ലോകത്തെ വലിയ വാർത്ത: ബ്ലോക്ക്ബസ്റ്റർ ചിത്രമായ 'അയല' ചിത്രത്തിന്റെ തുടർചിത്രം അടുത്ത വർഷം ചിത്രീകരിക്കാൻ തീരുമാനിച്ചു. ദിലീപ്, മമ്മൂട്ടി എന്നിവർ പ്രധാന കഥാപാത്രങ്ങളെ അവതരിപ്പിക്കും എന്നാണ് റിപ്പോർട്ടുകൾ. ഇതേ ടീം ചേർന്ന് വീണ്ടും ഒരു മികച്ച സിനിമ നൽകുമെന്ന് ആഗ്രഹിക്കുന്നു.",0,deepseek
ഇന്ത്യയിലെ ആദ്യത്തെ ഹ്യൂമനോയിഡ് റോബോട്ട് 'രാഷ്ട്രിയ ബോട്ട്' ഔദ്യോഗികമായി അവതരിപ്പിച്ചു. ഐഐടി മദ്രാസിലെ ഗവേഷകർ വികസിപ്പിച്ച ഈ റോബോട്ടിന് മലയാളം ഉൾപ്പെടെയുള്ള  ഇന്ത്യൻ ഭാഷകൾ സംസാരിക്കാനും സംവാദങ്ങൾ നടത്താനും കഴിയും. ഇത് രോഗികളെ സഹായിക്കുന്നതിനും ടൂറിസം രംഗത്തും ഉപയോഗിക്കാനാകും.,3,deepseek
"മലയാള സിനിമയുടെ പ്രിയപ്പെട്ട നടനായ ദുൽഖർ സൽമാൻ, തന്റെ അടുത്ത ചിത്രം 'കുരുക്ക്' ഓഗസ്റ്റ് 15ന് തിയേറ്ററുകളിൽ എത്തുന്നുവെന്ന് പ്രഖ്യാപിച്ചു. റഷ്മികാ മണ്ടന്നയുമായി ചേർന്ന് അഭിനയിക്കുന്ന ഈ ചിത്രം സസ്പെൻസ് ത്രില്ലർ ആണെന്ന് ഡിറൈക്ടർ ജിതു മാധവ് വ്യക്തമാക്കി. ഇത് സംവിധാനം ചെയ്തിരിക്കുന്നത് ജിതു മാധവ് ആണ്.",0,deepseek
"കൊച്ചിയിലെ ആദ്യത്തെ ഐഎസ്ഒ സർട്ടിഫൈഡ് ഹരിത ഹൈഡ്രജൻ പ്ലാന്റിന് ഇന്ത്യൻ ഓയിൽ കോർപ്പറേഷന് (ഐഓസി) സർക്കാർ അനുമതി നൽകി. 238 കോടി രൂപ മുതൽമുടക്കിലുള്ള ഈ പദ്ധതി വർഷത്തിൽ 5,000 മെട്രിക് ടൺ ഹരിത ഹൈഡ്രജൻ ഉത്പാദിപ്പിക്കും. ഇത് കമ്പനിയുടെ കാർബൺ അടിസ്ഥാനം കുറയ്ക്കുന്നതിന് പ്രധാന പങ്ക് വഹിക്കും.",2,deepseek
ടെസ്‌ല കമ്പനിയുടെ പുതിയ ഇലക്ട്രിക് കാറായ 'മോഡൽ Y' ഇന്ത്യയിൽ വിജയകരമായി ആരംഭിച്ചു. ഈ വാഹനം ഒരു ചാർജിൽ 500 കിലോമീറ്റർ ദൂരം സഞ്ചരിക്കാൻ സാധിക്കും. ഓട്ടോണമസ് ഡ്രൈവിംഗ് സവിശേഷതകളുള്ള ഈ കാർ ഉപഭോക്താക്കളിൽ നിന്ന് ഉയർന്ന പ്രതികരണം നേടിയിരിക്കുന്നു. ഭാവിയിൽ ബാംഗ്ലൂർ ആസ്ഥാനമാക്കി ഒരു ജിഗാഫാക്ടറി സ്ഥാപിക്കാനും കമ്പനി ഉദ്ദേശിക്കുന്നു.,3,deepseek
പ്രശസ്ത സംഗീത രചയിതാവ് എ.ആർ. റഹ്മാന് ഈ വർഷത്തെ കേരള സംസ്ഥാന ചലച്ചിത്ര പുരസ്കാരത്തിന് അർഹനായി. 'മലികപ്പുരത്തെ ദേവന്' എന്ന ചിത്രത്തിലെ അദ്ദേഹത്തിന്റെ സംഗീതമാണ് ഈ ബഹുമതിക്ക് കാരണം. പുരസ്കാരം ഔപചാരികമായി നൽകുന്ന ചടങ്ങ് അടുത്ത മാസം തിരുവനന്തപുരത്ത് നടക്കും.,0,deepseek
