text,label
"കേരളത്തിലെ ഏറ്റവും വലിയ ഷോപ്പിംഗ് മാളായ ഗ്രാന്റ് മാള്‍, തുടര്‍ന്നുള്ള രണ്ട് വര്‍ഷത്തിനുള്ളില്‍ തമിഴ്നാട്ടില്‍ അഞ്ച് പുതിയ കെട്ടിടങ്ങള്‍ തുറക്കുമെന്ന് പ്രഖ്യാപിച്ചു. ഈ വിപുലീകരണ പദ്ധതിക്ക് 500 കോടി രൂപയുടെ നിക്ഷേപം ആവശ്യമുണ്ട്, അത് 2,000 ത്തിലധികം തൊഴിലവസരങ്ങള്‍ സൃഷ്ടിക്കും. കമ്പനിയുടെ ചെയര്‍മാന്‍ ശ്രീ. രാജീവ് മേനോന്‍, തെക്കിന്ത്യൻ വിപണിയില്‍ കൂടുതല്‍ ഊന്നിനില്‍ക്കാനാണ് ഈ തീരുമാനം എന്ന് പറഞ്ഞു.",2
കൊച്ചിയിലെ സ്റ്റാർട്ടപ്പ് കമ്പനിയായ ഇന്നോവേറ്റ് ടെക് സൊല്യൂഷൻസ് ഇന്ത്യയിലെ ഒരു പ്രമുഖ വെഞ്ചർ കാപിറ്റൽ ഫണ്ടിൽ നിന്ന് 50 കോടി രൂപ നിക്ഷേപം നേടിയിട്ടുണ്ട്. ഈ ഫണ്ട് കമ്പനിയുടെ ആർട്ടിഫിഷ്യൽ ഇന്റലിജൻസ് സേവനങ്ങൾ വികസിപ്പിക്കാനും ദക്ഷിണേന്ത്യയിൽ അതിന്റെ ഓപ്പറേഷനുകൾ വികസിപ്പിക്കാനും ഉപയോഗിക്കും. ഈ നിക്ഷേപത്തോടെ കമ്പനി അടുത്ത രണ്ട് വർഷത്തിനുള്ളിൽ 200 പുതിയ ജോലി സ്ഥാനങ്ങൾ സൃഷ്ടിക്കുമെന്ന് പ്രതീക്ഷിക്കുന്നു.,2
കൊച്ചിയിലെ ആദ്യത്തെ ഐഎസ്ഒ സർട്ടിഫൈഡ് ഹരിത ഹൈഡ്രജൻ ഉൽപാദന യൂണിറ്റിന് ഇന്ന് ഔദ്യോഗികമായി ഉദ്ഘാടനം നടന്നു. ഇത് മാസം തോറും 50 ടൺ ഹരിത ഹൈഡ്രജൻ ഉത്പാദിപ്പിക്കുമെന്ന് കമ്പനി പ്രവർത്തക directors വ്യക്തമാക്കി. ഈ പദ്ധതിയിലൂടെ 200 ത്തോളം പേർക്ക് തൊഴിൽ അവസരങ്ങൾ ലഭിക്കുമെന്നും പ്രതീക്ഷിക്കുന്നു.,2
കേരളത്തിലെ ഏറ്റവും വലിയ റീട്ടെയിൽ ശൃംഖലയായ 'സിറ്റി മാൾട്ടി' ഈ വർഷം 50 പുതിയ കടകൾ തുറക്കാൻ തീരുമാനിച്ചു. ഈ വിപുലീകരണത്തിന് 200 കോടി രൂപയുടെ നിക്ഷേപം നടക്കുമെന്ന് കമ്പനി ഡയറക്ടർ അനു പി. മേനോൻ അറിയിച്ചു. ഇത് സംസ്ഥാനത്ത് 1000-ത്തോളം പുതിയ തൊഴിൽ അവസരങ്ങൾ സൃഷ്ടിക്കും.,2
"കൊച്ചിയിലെ ആദ്യത്തെ ഐപിഎൽ ടീമിന്റെ ഓണററി ഡയറക്ടറായി ഗൗതം മേനോൻ നിയമിതനായി. മുൻപ് കെഎൽഎ ക്രാഫ്റ്റ്സ് ഗ്രൂപ്പിന്റെ ചെയർമാനായിരുന്ന ഗൗതം, ടീമിന്റെ വിപണനവും ബ്രാൻഡിംഗും ഏറെ ശക്തിപ്പെടുത്തുമെന്ന് പ്രതീക്ഷിക്കുന്നു. ഈ നിയമനം കേരള ക്രിക്കറ്റിന് ഒരു പുതിയ ചാപ്റ്റർ തുറക്കുമെന്നാണ് വിദഗ്ദ്ധരുടെ അഭിപ്രായം.",2
കേരളത്തിലെ ടൂറിസം വ്യവസായത്തിന് പുതിയ ഊഷ്മളത. സംസ്ഥാന സർക്കാർ അടുത്ത ആഴ്ചയിൽ പുതിയ നിക്ഷേപ നയം പ്രഖ്യാപിക്കും. ഇത് വിദേശ നിക്ഷേപത്തിന് വഴിതെളിയിക്കുമെന്നും 5000-ലധികം തൊഴിലവസരങ്ങൾ സൃഷ്ടിക്കുമെന്നും പ്രതീക്ഷിക്കപ്പെടുന്നു. വ്യവസായ മേഖലയിലെ നേതാക്കൾ ഈ നടപടിയെ സ്വാഗതം ചെയ്തു.,2
കൊച്ചിയിലെ ആദ്യത്തെ ഐഎസ്ഒ സർട്ടിഫൈഡ് ഹരിത ഹൈഡ്രജൻ പ്ലാന്റിന് ഇന്ത്യൻ ഓയിൽ കോർപ്പറേഷന് (ഐഓസി) സർക്കാരിൽ നിന്ന് അനുമതി ലഭിച്ചു. 238 കോടി രൂപ മുതൽമുടക്കിലുള്ള ഈ പദ്ധതി കേരളത്തിന്റെ ഊർജ്ജ മേഖലയിൽ ഒരു പുതിയ തലമുണ്ടാക്കും. ഈ യൂണിറ്റ് പ്രതിദിനം ഏകദേശം ഐந்த് ടൺ ഹരിത ഹൈഡ്രജൻ ഉത്പാദിപ്പിക്കുമെന്ന് കമ്പനി പ്രതീക്ഷിക്കുന്നു.,2
കൊച്ചിയിലെ സ്റ്റാർട്ടപ്പ് 'ഗ്രീൻ സോൾ' 100 കോടി രൂപ നിക്ഷേപം നേടി. ഈ നിക്ഷേപം ടാറ്റ കാപിറ്റലിന്റെ നേതൃത്വത്തിലുള്ള ഒരു കൂട്ടായ്മയാണ് നൽകിയത്. കമ്പനി ഈ ഫണ്ട് ഉപയോഗിച്ച് തെക്കിന്ത്യൻ സംസ്ഥാനങ്ങളിലേക്ക് തങ്ങളുടെ സൗരോർജ്ജ പരിഹാരങ്ങൾ വികസിപ്പിക്കും എന്ന് പ്രഖ്യാപിച്ചു. ഈ ചോദനം വർഷംതോറും 40% വളർച്ച കാണുന്നു.,2
കൊച്ചിയിലെ ആദ്യത്തെ ഐഎസ്ഒ സർട്ടിഫൈഡ് ഹരിത ഹൈഡ്രജൻ ഉൽപാദന യൂണിറ്റിന്റെ തറക്കല്ലിടൽ ചടങ്ങ് ഇന്ന് നടന്നു. ഇന്ത്യയുടെ ഊർജ്ജ സ്വാതന്ത്ര്യത്തിന് വേണ്ടി പുതിയ തലമുറയിലേക്കുള്ള ഈ പ്രോജക്റ്റ് 500 കോടി രൂപ മുതൽമുടക്കിലാണ്. ഇത് സംസ്ഥാനത്തിന് വികസനത്തിന്റെ പുതിയ ദിശ തുറന്നുതരുമെന്ന് മുഖ്യമന്ത്രി പറഞ്ഞു.,2
"കേരളത്തിലെ ഏറ്റവും വലിയ ഷോപ്പിംഗ് മാളായ ലുലു ഗ്രൂപ്പ്, അടുത്ത വർഷം തമിഴ്നാട്ടിലെ കോയമ്പത്തൂരിൽ പുതിയ മാള തുറക്കും എന്ന് പ്രഖ്യാപിച്ചു. 500 കോടി രൂപ മുതൽമുടക്കിലുള്ള ഈ പദ്ധതി 2026-ലെയ്ക്ക് പൂർത്തിയാകുമെന്ന് കമ്പനി പ്രസ്താവനയിൽ സൂചിപ്പിച്ചു. ഇത് പ്രദേശത്തെ ഏകദേശം 1500 തൊഴിലവസരങ്ങൾ സൃഷ്ടിക്കും.",2
