text,label
"ക്വാണ്ടം കമ്പ്യൂട്ടിംഗ് രംഗത്ത് നിർണായകമായ പുതിയ കണ്ടുപിടിത്തവുമായി ഗവേഷകർ. സങ്കീർണ്ണമായ പ്രശ്നങ്ങളെ അതിവേഗം വിശകലനം ചെയ്യാൻ കഴിവുള്ള ഈ സാങ്കേതികവിദ്യ ആരോഗ്യ, സാമ്പത്തിക മേഖലകളിൽ വിപ്ലവം സൃഷ്ടിക്കുമെന്നാണ് കരുതുന്നത്. ഭാവിയിൽ കമ്പ്യൂട്ടിംഗിന്റെ മുഖച്ഛായ മാറ്റാൻ ഇതിന് കഴിയും. കൂടുതൽ ഗവേഷണങ്ങൾ ഈ മേഖലയിൽ സജീവമാണ്.",3
ഇന്ത്യൻ ബാഡ്മിന്റൺ താരം പി.വി. സിന്ധു ഓൾ ഇംഗ്ലണ്ട് ബാഡ്മിന്റൺ ചാമ്പ്യൻഷിപ്പിന്റെ സെമിഫൈനലിൽ പ്രവേശിച്ചു. ക്വാർട്ടർ ഫൈനലിൽ ശക്തയായ എതിരാളിയെ പരാജയപ്പെടുത്തിയാണ് സിന്ധുവിന്റെ മുന്നേറ്റം. പരിക്കിന് ശേഷം സിന്ധുവിന്റെ മികച്ച തിരിച്ചുവരവാണിത്. ഫൈനലിൽ കടന്ന് കിരീടം നേടാനുള്ള ഒരുക്കത്തിലാണ് താരം.,1
രാജ്യത്തെ യുവ കായിക പ്രതിഭകളെ കണ്ടെത്താൻ ലക്ഷ്യമിട്ടുള്ള ഖേലോ ഇന്ത്യ യൂത്ത് ഗെയിംസിന് വർണ്ണാഭമായ തുടക്കം. വിവിധ സംസ്ഥാനങ്ങളിൽ നിന്നുള്ള ആയിരക്കണക്കിന് കായിക താരങ്ങൾ ഗെയിംസിൽ പങ്കെടുക്കുന്നുണ്ട്. നിരവധി പുതിയ റെക്കോർഡുകൾ പിറക്കുമെന്നാണ് സംഘാടകരുടെ പ്രതീക്ഷ. ഇന്ത്യൻ കായിക മേഖലയുടെ ഭാവിയ്ക്ക് ഈ ഗെയിംസ് വലിയ മുതൽക്കൂട്ടാകും.,1
"തുടർച്ചയായ നഷ്ടങ്ങൾക്ക് ശേഷം ഇന്ത്യൻ ഓഹരി വിപണി ഇന്ന് നേരിയ മുന്നേറ്റം രേഖപ്പെടുത്തി. മുംബൈ സ്റ്റോക്ക് എക്സ്ചേഞ്ച് സൂചികയായ സെൻസെക്സ് 200 പോയിന്റിലധികം ഉയർന്ന് 74,500 കടന്നു. നാഷണൽ സ്റ്റോക്ക് എക്സ്ചേഞ്ച് സൂചികയായ നിഫ്റ്റിയും നേട്ടത്തിലാണ് വ്യാപാരം അവസാനിപ്പിച്ചത്. ബാങ്കിംഗ്, ഫിനാൻഷ്യൽ ഓഹരികളാണ് ഈ മുന്നേറ്റത്തിന് പ്രധാനമായും സഹായിച്ചത്.",2
"വിർച്വൽ റിയാലിറ്റി (VR) സാങ്കേതികവിദ്യ പുതിയ തലങ്ങളിലേക്ക് കടക്കുകയാണ്. മെച്ചപ്പെട്ട ഗ്രാഫിക്സും സംവേദനാത്മകതയും വിആർ അനുഭവങ്ങളെ കൂടുതൽ യാഥാർത്ഥ്യബോധമുള്ളതാക്കുന്നു. വിനോദം, വിദ്യാഭ്യാസം, ആരോഗ്യപരിപാലനം തുടങ്ങിയ മേഖലകളിൽ വിആർ സാങ്കേതികവിദ്യയുടെ സാധ്യതകൾ വർദ്ധിച്ചുവരികയാണ്.",3
കൊച്ചി ആസ്ഥാനമായുള്ള ഒരു ഫിൻടെക് സ്റ്റാർട്ടപ്പിന് പ്രമുഖ വെഞ്ച്വർ ക്യാപിറ്റൽ സ്ഥാപനങ്ങളിൽ നിന്ന് വൻ നിക്ഷേപം ലഭിച്ചു. സാമ്പത്തിക സാങ്കേതികവിദ്യയിൽ പുതിയ ഉൽപ്പന്നങ്ങളും സേവനങ്ങളും വികസിപ്പിക്കാനാണ് ഈ ഫണ്ട് ഉപയോഗിക്കുക. ഇത് കേരളത്തിലെ സ്റ്റാർട്ടപ്പ് ആവാസവ്യവസ്ഥയ്ക്ക് വലിയ പ്രോത്സാഹനം നൽകും. കൂടുതൽ തൊഴിലവസരങ്ങൾ സൃഷ്ടിക്കാനും നൂതനമായ സാമ്പത്തിക സേവനങ്ങൾ സാധാരണക്കാരിലേക്ക് എത്തിക്കാനും ഇത് സഹായിക്കും.,2
ചിദംബരം സംവിധാനം ചെയ്ത 'മഞ്ഞുമ്മൽ ബോയ്സ്' കേരളത്തിലും പുറത്തും മികച്ച പ്രതികരണം നേടി മുന്നേറുന്നു. മലയാള സിനിമയുടെ ബോക്സ് ഓഫീസ് ചരിത്രത്തിൽ ഇടംനേടിയ ചിത്രം ഇതിനോടകം 200 കോടി ക്ലബ്ബിൽ പ്രവേശിച്ചു കഴിഞ്ഞു. യഥാർത്ഥ സംഭവത്തെ ആസ്പദമാക്കി ഒരുക്കിയ ഈ സർവൈവൽ ത്രില്ലർ പ്രേക്ഷകരെ ആവേശത്തിലാഴ്ത്തി. സൗഹൃദത്തിന്റെയും അതിജീവനത്തിന്റെയും കഥയാണ് ചിത്രം പറയുന്നത്.,0
മലേഷ്യൻ ഓപ്പൺ ബാഡ്മിന്റൺ ടൂർണമെന്റിൽ ഇന്ത്യയുടെ എച്ച്.എസ്. പ്രണോയ് കിരീടം ചൂടി. ഫൈനലിൽ ലോക റാങ്കിംഗിൽ മുന്നിലുള്ള താരത്തെ അട്ടിമറിച്ചാണ് പ്രണോയ് ഈ ചരിത്രവിജയം സ്വന്തമാക്കിയത്. ഇന്ത്യൻ ബാഡ്മിന്റൺ ചരിത്രത്തിലെ ഒരു പ്രധാന നേട്ടമായി ഇത് അടയാളപ്പെടുത്തുന്നു. പ്രണോയിയുടെ കരിയറിലെ ഏറ്റവും മികച്ച വിജയങ്ങളിലൊന്നാണിത്.,1
"രാജ്യത്തെ പ്രമുഖ ഐടി കമ്പനിയായ ടാറ്റ കൺസൾട്ടൻസി സർവീസസ് (ടിസിഎസ്) നാലാം പാദത്തിൽ മികച്ച ലാഭം രേഖപ്പെടുത്തി. കമ്പനിയുടെ അറ്റാദായം മുൻ വർഷത്തേക്കാൾ 9% വർദ്ധിച്ച് 12,434 കോടി രൂപയിലെത്തി. വരുമാനത്തിലും കാര്യമായ വളർച്ചയുണ്ടായി. ആഗോളതലത്തിൽ പുതിയ പ്രോജക്റ്റുകൾ ഏറ്റെടുക്കുന്നതിലൂടെ ഈ സാമ്പത്തിക വർഷവും മികച്ച വളർച്ച നേടാനാണ് കമ്പനി ലക്ഷ്യമിടുന്നത്.",2
ഇന്ത്യൻ പ്രീമിയർ ലീഗിൽ ഇന്നലെ നടന്ന ആവേശകരമായ മത്സരത്തിൽ രാജസ്ഥാൻ റോയൽസ് ഡൽഹി ക്യാപിറ്റൽസിനെതിരെ അഞ്ച് വിക്കറ്റിന്റെ തകർപ്പൻ ജയം സ്വന്തമാക്കി. ഡൽഹി ഉയർത്തിയ 186 റൺസ് വിജയലക്ഷ്യം രാജസ്ഥാൻ അവസാന ഓവറിൽ മറികടന്നു. റിയാൻ പരാഗിന്റെ വെടിക്കെട്ട് ബാറ്റിംഗാണ് രാജസ്ഥാന് വിജയം നേടിക്കൊടുത്തത്. ഈ വിജയത്തോടെ പോയിന്റ് പട്ടികയിൽ രാജസ്ഥാൻ മുന്നിലെത്തി.,1
മെഗാസ്റ്റാർ മമ്മൂട്ടിയെ നായകനാക്കി വൈശാഖ് സംവിധാനം ചെയ്യുന്ന പുതിയ ചിത്രം 'ടർബോ'യുടെ ചിത്രീകരണം പൂർത്തിയായി. ബിഗ് ബഡ്ജറ്റിൽ ഒരുങ്ങുന്ന ഈ ആക്ഷൻ എന്റർടെയിനർ ആരാധകർ ഏറെ പ്രതീക്ഷയോടെ കാത്തിരിക്കുന്ന ഒന്നാണ്. മമ്മൂട്ടി കമ്പനിയുടെ ബാനറിൽ മമ്മൂട്ടി തന്നെയാണ് ചിത്രം നിർമ്മിക്കുന്നത്. സസ്പെൻസും ആക്ഷനും നിറഞ്ഞ ഒരു ദൃശ്യാനുഭവമായിരിക്കും 'ടർബോ' സമ്മാനിക്കുക എന്നാണ് അണിയറ പ്രവർത്തകർ നൽകുന്ന സൂചന.,0
"ഇന്ത്യൻ ഓഹരി വിപണിയിൽ ഈ ആഴ്ചയും മുന്നേറ്റം തുടർന്നു. സെൻസെക്സ് 500 പോയിന്റിലധികം ഉയർന്ന് 75,000 കടന്നു. നിഫ്റ്റി 22,700-ൽ വ്യാപാരം അവസാനിപ്പിച്ചു. ആഗോള വിപണികളിലെ അനുകൂല ഘടകങ്ങളും ആഭ്യന്തര കമ്പനികളുടെ മികച്ച സാമ്പത്തിക ഫലങ്ങളുമാണ് വിപണിക്ക് കരുത്തായത്. വരും ദിവസങ്ങളിലും ഈ പ്രവണത തുടരുമെന്നാണ് സാമ്പത്തിക വിദഗ്ദ്ധർ വിലയിരുത്തുന്നത്.",2
റിസർവ് ബാങ്ക് ഓഫ് ഇന്ത്യയുടെ ധനനയ സമിതി യോഗത്തിൽ പലിശ നിരക്കുകളിൽ മാറ്റം വരുത്തേണ്ടതില്ലെന്ന് തീരുമാനിച്ചു. റീപ്പോ നിരക്ക് 6.5% ആയി നിലനിർത്തി. പണപ്പെരുപ്പം നിയന്ത്രിക്കുക എന്നതിനാണ് നിലവിൽ പ്രഥമ പരിഗണന നൽകുന്നതെന്ന് ആർബിഐ ഗവർണർ അറിയിച്ചു. ഇത് വായ്പാ നിരക്കുകളിൽ തൽക്കാലം മാറ്റങ്ങൾ ഉണ്ടാക്കില്ല.,2
"രാജ്യത്തുടനീളം 50 പുതിയ ഹൈപ്പർമാർക്കറ്റുകൾ തുറക്കാൻ റിലയൻസ് റീട്ടെയിൽ ഒരുങ്ങുന്നു. അടുത്ത സാമ്പത്തിക വർഷത്തോടെ പ്രവർത്തനം ആരംഭിക്കുന്ന ഈ സ്റ്റോറുകൾക്ക് 5,000 കോടി രൂപയുടെ നിക്ഷേപം പ്രതീക്ഷിക്കുന്നു. കൂടുതൽ നഗരങ്ങളിലേക്ക് തങ്ങളുടെ സാന്നിധ്യം വ്യാപിപ്പിക്കാനും ഉപഭോക്താക്കൾക്ക് മികച്ച ഷോപ്പിംഗ് അനുഭവം നൽകാനുമാണ് ലക്ഷ്യം. ഇത് ആയിരക്കണക്കിന് പുതിയ തൊഴിലവസരങ്ങൾ സൃഷ്ടിക്കും.",2
**മഞ്ഞുമ്മൽ ബോയ്സ് 200 കോടി ക്ലബ്ബിൽ; മലയാള സിനിമയ്ക്ക് ചരിത്രനേട്ടം** മലയാള സിനിമയുടെ യശസ്സ് ഉയർത്തി മഞ്ഞുമ്മൽ ബോയ്സ് 200 കോടി ക്ലബ്ബിൽ പ്രവേശിച്ചു. ചിദംബരം സംവിധാനം ചെയ്ത ചിത്രം കേരളത്തിന് പുറത്തും വലിയ സ്വീകാര്യത നേടി. അതിജീവനത്തിന്റെ കഥ പറഞ്ഞ ഈ ചിത്രം മലയാളത്തിലെ ഏറ്റവും വലിയ വിജയങ്ങളിൽ ഒന്നായി മാറി. ബോക്സ് ഓഫീസിൽ പുതിയ റെക്കോർഡുകൾ സൃഷ്ടിച്ച് മുന്നേറുകയാണ് ചിത്രം.,0
വർഷങ്ങൾക്കിപ്പുറം പ്രേക്ഷകരുടെ മനസ്സിൽ ഇടം നേടിയ 'പാലപ്പൂവേ' എന്ന ഗാനത്തിന്റെ പുതിയ പതിപ്പ് പുറത്തിറങ്ങി. പ്രമുഖ യുവഗായകരാണ് ഈ ഗാനത്തിന് പുതിയ ഭാവം നൽകിയിരിക്കുന്നത്. റിലീസ് ചെയ്ത നിമിഷങ്ങൾക്കുള്ളിൽ തന്നെ സാമൂഹിക മാധ്യമങ്ങളിൽ ഗാനം തരംഗമായി മാറി.,0
"ഏറ്റവും പുതിയ മലയാളം സിനിമയിലെ 'ചെന്നിനായകൻ' എന്ന ഗാനം യൂട്യൂബിൽ ലക്ഷക്കണക്കിന് കാഴ്ചക്കാരുമായി മുന്നേറുന്നു. പ്രണയവും വിരഹവും ചേർന്ന ഈ ഗാനം ഇതിനോടകം തന്നെ സോഷ്യൽ മീഡിയയിൽ വലിയ ചർച്ചയായിക്കഴിഞ്ഞു. സംഗീത സംവിധായകൻ ഗോപി സുന്ദറിന്റെ ഈണം, ഗായകൻ വിജയ് യേശുദാസിന്റെ ആലാപനം എന്നിവ ഗാനത്തെ കൂടുതൽ ജനപ്രിയമാക്കി.",0
"കഴിഞ്ഞ ദിവസം നടന്ന ഐപിഎൽ മത്സരത്തിൽ രാജസ്ഥാൻ റോയൽസ് സൺറൈസേഴ്സ് ഹൈദരാബാദിനെതിരെ തകർപ്പൻ ജയം സ്വന്തമാക്കി. ക്യാപ്റ്റൻ സഞ്ജു സാംസണിന്റെ മികച്ച പ്രകടനമാണ് ടീമിന് തുണയായത്. ബൗളിംഗിലും ഫീൽഡിംഗിലും റോയൽസ് മികവ് പുലർത്തി, എതിരാളികളെ കുറഞ്ഞ സ്കോറിൽ ഒതുക്കി. ഈ വിജയത്തോടെ പ്ലേഓഫ് സാധ്യതകൾ രാജസ്ഥാൻ സജീവമാക്കി.",1
ഇന്ത്യൻ ബഹിരാകാശ ഗവേഷണ സ്ഥാപനം (ISRO) അടുത്തതായി ഒരു പുതിയ കാലാവസ്ഥാ ഉപഗ്രഹം വിക്ഷേപിക്കാൻ ഒരുങ്ങുന്നു. രാജ്യത്തിന്റെ കാലാവസ്ഥാ പ്രവചന ശേഷി വർദ്ധിപ്പിക്കുക എന്നതാണ് ഈ ദൗത്യത്തിന്റെ പ്രധാന ലക്ഷ്യം. വിക്ഷേപണം അടുത്ത മാസം നടക്കുമെന്ന് ഐഎസ്ആർഒ വൃത്തങ്ങൾ അറിയിച്ചു. ഇത് കാർഷിക മേഖലയ്ക്കും ദുരന്ത നിവാരണത്തിനും ഏറെ സഹായകമാകും.,3
ബാഡ്മിന്റൺ ലോക ചാമ്പ്യൻഷിപ്പിൽ ഇന്ത്യൻ താരങ്ങൾ മികച്ച പ്രകടനം കാഴ്ചവെച്ച് മെഡൽ നേടി. പുരുഷ ഡബിൾസിൽ സാത്വിക്സായിരാജ്-ചിരാഗ് ഷെട്ടി സഖ്യം ഫൈനലിൽ പ്രവേശിച്ചു. വനിതാ സിംഗിൾസിൽ പി.വി. സിന്ധുവിന്റെ പ്രകടനം ശ്രദ്ധേയമായി. ഇന്ത്യൻ ബാഡ്മിന്റൺ ലോക വേദിയിൽ തങ്ങളുടെ സ്ഥാനം ഉറപ്പിക്കുന്ന കാഴ്ചയാണ് ചാമ്പ്യൻഷിപ്പിൽ കണ്ടത്.,1
പ്രശസ്ത ഗായകൻ വിജയ് യേശുദാസിന്റെ പുതിയ സംഗീത ആൽബം 'മഴവില്ല്' പുറത്തിറങ്ങി. പ്രണയവും വിരഹവും പ്രകൃതി സൗന്ദര്യവും വിഷയമാക്കിയുള്ള മനോഹര ഗാനങ്ങളാണ് ആൽബത്തിലുള്ളത്. പ്രമുഖ സംഗീതജ്ഞർ ഈണം നൽകിയിരിക്കുന്ന ഈ ആൽബം യൂട്യൂബിലും മറ്റ് മ്യൂസിക് പ്ലാറ്റ്‌ഫോമുകളിലും ഇതിനോടകം തരംഗമായിക്കഴിഞ്ഞു. സംഗീത പ്രേമികൾക്കിടയിൽ വലിയ സ്വീകാര്യതയാണ് ലഭിക്കുന്നത്.,0
